sloka	pada	english	verb_part
1.44.20	अतिवर्तते	is passing by.	[('is', 'VBZ'), ('passing', 'VBG')]
2.21.42	अतिवर्तितुम्	to transgress	[('transgress', 'VB')]
5.20.14	अतिवर्तेत	retain his balance of mind.	[('retain', 'VB')]
2.75.52	अतिवर्तेत	may neglect.	[('neglect.', 'VB')]
4.24.6	अतिविप्रधर्षात्	unable to tolerate harsh words	[('tolerate', 'VB')]
2.9.62	अतिविस्मिता	amazed	[('amazed', 'VBN')]
3.50.13	अतिवृत्तः	trespassed	[('trespassed', 'VBN')]
3.39.23	अतिवृत्तः	a person who exceeded his limits	[('exceeded', 'VBD')]
5.15.11	अतिवृत्तम्	surpassing	[('surpassing', 'VBG')]
3.44.4	अतिवृत्तम्	went out of reach	[('went', 'VBD')]
2.30.41	अतिशोभनम्	highly dignified	[('dignified', 'VBN')]
2.91.76	अतिष्ठतः	placed	[('placed', 'VBN')]
5.1.206	अतिसंक्षिप्य	contracting to very small size	[('contracting', 'VBG')]
1.24.5	अतिसंरम्भवर्धितम्	greatly augmented by the speed	[('augmented', 'VBN')]
2.39.33	अतिसत्कृताम्	highly revered lady	[('revered', 'VBN')]
2.7.24	अतिसन्धिता	beguiled	[('beguiled', 'VBN')]
5.62.6	अतिसर्गाच्च	overjoyed with success	[('overjoyed', 'VBN')]
2.18.23	अतिसृज्य	having bestowed	[('having', 'VBG'), ('bestowed', 'VBN')]
1.75.12	अतिसृष्टं	was given	[('was', 'VBD'), ('given', 'VBN')]
3.28.21	अतिसृष्टम्	given	[('given', 'VBN')]
4.1.116	अतिस्नेहपरिष्वङ्गात्	saturated by oil	[('saturated', 'VBN')]
4.53.22	अतीतः	exceeded	[('exceeded', 'VBD')]
2.65.29	अतीतम्	him who has passed away	[('has', 'VBZ'), ('passed', 'VBN')]
1.42.13	अतीतानि	passed away	[('passed', 'VBN')]
2.55.34	अतीतायाम्	had passed	[('had', 'VBD'), ('passed', 'VBN')]
5.64.25	अतीते	exceeded	[('exceeded', 'VBD')]
4.53.26	अतीते	when exceeded	[('exceeded', 'VBD')]
4.65.31	अतीत्य	in not fulfilling the task	[('fulfilling', 'VBG')]
1.18.20	अतीत्य	having completed	[('having', 'VBG'), ('completed', 'VBN')]
5.48.57	अतीत्य	after crossing	[('crossing', 'VBG')]
2.34.11	अतीत्यैव	having crossed	[('having', 'VBG'), ('crossed', 'VBN')]
2.112.18	अतीयात्	might overstep	[('overstep', 'VB')]
2.28.18	अतीव	is extreme	[('is', 'VBZ')]
1.19.21	अतीव व्यथितमनाः अभवत्	was exstreemly mentally agitated	[('was', 'VBD')]
1.51.14	अतुलप्रभः	possessing unsurpassed radiance	[('possessing', 'VBG')]
1.5.11	अतुलप्रभाम्	having matchless splendour	[('having', 'VBG')]
2.72.29	अत्यगात्	passed away	[('passed', 'VBN')]
2.15.47	अत्यङ्कुशम्	without caring for the goad	[('caring', 'VBG')]
2.36.26	अत्यजत्	abandoned	[('abandoned', 'VBN')]
5.5.9	अत्यद्भुतरौद्रवृत्ताः	whose deeds were wonderful exhibiting their anger	[('were', 'VBD'), ('exhibiting', 'VBG')]
2.97.23	अत्यन्त सुखसेविनीम्	brought up in every luxury	[('brought', 'VBN')]
2.58.5	अत्यन्त सुखितः	enjoyed supreme luxury	[('enjoyed', 'VBN')]
2.20.42	अत्यन्तनिगृहीता अस्मि	am greatly repressed.	[('am', 'VBP')]
3.35.14	अत्यन्तनियताहारैः	by those who are highly disciplined in food	[('are', 'VBP'), ('disciplined', 'VBN')]
2.8.25	अत्यन्तनिर्भग्नः	very much brokenhearted	[('brokenhearted', 'VBN')]
2.12.23	अत्यन्तसुकुमारस्य	exceedingly tender one	[('tender', 'VB')]
3.16.30	अत्यन्तसुखसंवृद्धः	brought up in comfort	[('brought', 'VBN')]
3.2.17	अत्यन्तसुखसंवृद्धाम्	brought up in utmost comfort	[('brought', 'VBN')]
3.16.10	अत्यन्तसुखसञ्चाराः	comfortable to go about	[('go', 'VB')]
2.61.19	अत्यमर्षणः	highly determined	[('determined', 'VBN')]
2.71.3	अत्ययात्	went beyond.	[('went', 'VBD')]
2.71.8	अत्ययात्	passed through.	[('passed', 'VBN')]
4.1.7	अत्यर्थ शुभदर्शना	extremely beautiful सर्पव्यालानुचरिता with vicious serpents moving about	[('moving', 'VBG')]
2.71.14	अत्यवर्तत	crossed over	[('crossed', 'VBN')]
2.50.8	अत्यवर्तत	crossed over.	[('crossed', 'VBN')]
2.51.26	अत्यवर्तत	passed away.	[('passed', 'VBN')]
2.23.36	अत्यस्यन्	striking and throwing	[('throwing', 'VBG')]
2.9.47	अत्र	here (on this hump)	[('(on', 'VBZ')]
2.28.18	अत्र	there (in the forest)	[('(in', 'VBZ')]
3.9.3	अत्र	here (in this context)	[('(in', 'VBZ')]
5.1.187	अत्र	here it is	[('is', 'VBZ')]
2.98.17	अत्र इति	here he is	[('is', 'VBZ')]
2.93.23	अत्र न	if they are not here	[('are', 'VBP')]
2.93.22	अत्रैव	are here only.	[('are', 'VBP')]
1.60.28	अथ मत्कृतानि	now created by me	[('created', 'VBN')]
5.14.46	अथवा	or may be	[('be', 'VB')]
3.60.9	अथवा	or may be	[('be', 'VB')]
5.34.17	अथवा	or may be	[('be', 'VB')]
5.27.49	अदक्षिणः	that left	[('left', 'VBD')]
5.58.156	अदग्धः	rose up	[('rose', 'VBD')]
3.71.28	अदग्धस्य	without being burnt	[('being', 'VBG')]
5.58.160	अदग्धा	not been burnt	[('been', 'VBN')]
2.37.30	अदत्ताम्	not given	[('given', 'VBN')]
1.18.22	अददात्	bestowed	[('bestowed', 'VBN')]
2.9.28	अददात्	had given	[('had', 'VBD'), ('given', 'VBN')]
3.42.22	अदन्	eating	[('eating', 'VBG')]
2.119.20	अदन्ति	they (eat) devour	[('(eat)', 'VBP')]
5.68.6	अदर्शनजः	not seeing you	[('seeing', 'VBG')]
2.64.68	अदर्शनजः	born out of nonappearance	[('born', 'VBN')]
5.39.23	अदर्शनजः	not seeing you	[('seeing', 'VBG')]
5.36.37	अदर्शनजेन	on account of not seeing you	[('seeing', 'VBG')]
5.20.2	अदर्शनम्	concealed	[('concealed', 'VBN')]
5.35.46	अदर्शनशोकेन	by the sorrow of not being able to see you	[('being', 'VBG'), ('see', 'VB')]
5.43.18	अदह्यत	was burnt	[('was', 'VBD')]
5.58.151	अदह्यन्त	set fire.	[('set', 'VBN')]
2.32.28	अदापयत्	got it distributed.	[('got', 'VBD'), ('distributed.', 'VB')]
1.18.8	अदितिदैवत्ये	presided by Aditi as devata	[('presided', 'VBN')]
3.14.14	अदित्याम्	to Aditi	[('Aditi', 'VB')]
4.62.9	अदिदंत्विति	this is provided by	[('is', 'VBZ'), ('provided', 'VBN')]
2.72.54	अदीन सत्त्वम्	without getting depressed in spirit	[('getting', 'VBG'), ('depressed', 'VBN')]
2.55.34	अदीनदर्शनाः	appearing in high spirits	[('appearing', 'VBG')]
5.51.46	अदीनवादिनः	of Hanuman who expressed his opinion with all dignity	[('expressed', 'VBD')]
5.48.15	अदीनसत्त्वः	who is never distressed	[('is', 'VBZ'), ('distressed', 'VBN')]
1.1.15	अदीनात्मा	unperturbed mind (even in times of extreme grief)	[('(even', 'VBN')]
5.17.26	अदीनाम्	not dejected	[('dejected', 'VBN')]
1.40.3	अदीर्घजीविनाम्	of the short lived men	[('lived', 'VBD')]
4.58.10	अदीर्घदर्शिनम्	one who is not farsighted	[('is', 'VBZ'), ('farsighted', 'VBN')]
3.58.12	अदुःखदर्शिनी	never experienced sorrow	[('experienced', 'VBN')]
2.13.12	अदुःखार्हस्य	one who does not deserve suffering	[('does', 'VBZ'), ('deserve', 'VB'), ('suffering', 'VBG')]
5.27.46	अदुःखार्हाम्	not deserve to suffer	[('deserve', 'VB'), ('suffer', 'VB')]
2.40.41	अदुःखार्हौ	unworthy of experiencing sorrow	[('experiencing', 'VBG')]
2.20.33	अदुःखोचिताम्	who does not deserve sorrow	[('does', 'VBZ'), ('deserve', 'VB')]
2.84.9	अदुष्टः	not illdisposed	[('illdisposed', 'VBN')]
2.94.7	अदुष्टैः	without being cruel	[('being', 'VBG')]
1.7.9	अदूषकम्	who did not commit any offence	[('did', 'VBD'), ('commit', 'VB')]
1.59.20	अदूषयत् हि	blamed me	[('blamed', 'VBN')]
1.59.20	अदूष्यम्	not fit to be blamed	[('fit', 'VB'), ('be', 'VB'), ('blamed', 'VBN')]
5.7.16	अदृश्य	unable to find	[('find', 'VB')]
2.41.21	अदृश्यत	was visible	[('was', 'VBD')]
4.39.19	अदृश्यत	was seen	[('was', 'VBD'), ('seen', 'VBN')]
1.73.38	अदृश्यत	was seen.	[('was', 'VBD')]
3.44.10	अदृश्यत	was seen.	[('was', 'VBD')]
2.91.48	अदृश्यन्त	were found.	[('were', 'VBD')]
4.1.34	अदृश्यमाना	not seen by me	[('seen', 'VBN')]
5.2.37	अदृष्टः	without being seen	[('being', 'VBG'), ('seen', 'VBN')]
5.58.71	अदृष्टः	without being seen	[('being', 'VBG'), ('seen', 'VBN')]
3.66.16	अदृष्टगुणदोषाणाम्	of those who do not know their merits and demerits	[('do', 'VBP'), ('know', 'VB')]
2.24.2	अदृष्टदुःखः	one who had never experienced sorrow	[('had', 'VBD'), ('experienced', 'VBN')]
2.52.27	अदृष्टदुःखम्	one who has not experienced any sorrow	[('has', 'VBZ'), ('experienced', 'VBN')]
2.50.51	अदृष्टदुःखस्य	one who never experienced troubles	[('experienced', 'VBD')]
2.43.7	अदृष्टदुःखानाम्	who have never seen suffering	[('have', 'VBP'), ('seen', 'VBN'), ('suffering', 'VBG')]
5.30.7	अदृष्टदुःखाम्	who has never seen suffering	[('has', 'VBZ'), ('seen', 'VBN'), ('suffering', 'VBG')]
3.42.35	अदृष्टपूर्वम्	never seen before	[('seen', 'VBN')]
3.64.75	अदृष्टपूर्वम्	never seen before	[('seen', 'VBN')]
2.29.3	अदृष्टपूर्वरूपत्वात्	which had not been seen by you before	[('had', 'VBD'), ('been', 'VBN'), ('seen', 'VBN')]
2.58.35	अदृष्टपूर्वव्यसना	who had never experienced adversity	[('had', 'VBD'), ('experienced', 'VBN')]
2.38.16	अदृष्टपूर्वव्यसनाम्	experiencing such unforeseen suffering	[('experiencing', 'VBG'), ('suffering', 'VBG')]
2.55.30	अदृष्टपूर्वाम्	never seen before	[('seen', 'VBN')]
5.33.29	अदृष्टम्	not seen	[('seen', 'VBN')]
1.10.13	अदृष्टरूपाः	whose forms were never seen before	[('were', 'VBD'), ('seen', 'VBN')]
5.12.8	अदृष्टवा	without seeing	[('seeing', 'VBG')]
5.13.45	अदृष्टवा	without seeing	[('seeing', 'VBG')]
5.13.64	अदृष्टाः	not seen	[('seen', 'VBN')]
5.12.11	अदृष्टान्	not seen	[('seen', 'VBN')]
4.53.34	अदृष्टायाम्	when she is not found	[('is', 'VBZ'), ('found', 'VBN')]
3.60.38	अदृष्ट्वा	having not seen	[('having', 'VBG'), ('seen', 'VBN')]
5.13.2	अदृष्ट्वा	not seeing	[('seeing', 'VBG')]
5.12.5	अदृष्ट्वा	without seeing	[('seeing', 'VBG')]
5.13.20	अदृष्ट्वा	without seeing	[('seeing', 'VBG')]
3.5.29	अदृष्ट्वा	without seeing	[('seeing', 'VBG')]
5.13.40	अदृष्ट्वा	by not seeing	[('seeing', 'VBG')]
5.63.23	अदृष्ट्वा	not seen	[('seen', 'VBN')]
4.47.7	अदृष्ट्वा	not able to see	[('see', 'VB')]
2.100.43	अदेवमातृकः	not dependant on rain	[('dependant', 'VB')]
1.53.25	अदोमूलाः	are rooted here (in her)	[('are', 'VBP'), ('rooted', 'VBN')]
5.2.49	अद्भुतदर्शनः	wonderful to behold	[('behold', 'VB')]
1.31.11	अद्भुतदर्शनम्	wonderful to look at	[('look', 'VB')]
3.42.15	अद्भुतदर्शनम्	wonderful to look at	[('look', 'VB')]
1.16.24	अद्भुतप्रख्यम्	having a wonderful form	[('having', 'VBG')]
1.56.7	अद्भुतमिव अभवत्	became super natural (aweful).	[('became', 'VBD')]
1.75.2	अद्भुतम्	astonishing	[('astonishing', 'VBG')]
5.37.40	अद्भुतम्	astonishing	[('astonishing', 'VBG')]
5.58.160	अद्भुताम्	amazing	[('amazing', 'VBG')]
2.14.50	अद्यबोधयामि	am awakening you today.	[('am', 'VBP'), ('awakening', 'VBG'), ('today.', 'VBP')]
2.19.10	अद्यैव	(today itself) right now	[('itself)', 'VB')]
5.37.21	अद्यैव प्रापयिष्यामि	I will take you today itself.	[('take', 'VB'), ('itself.', 'VB')]
5.58.37	अद्राक्षम्	I saw.	[('saw.', 'VBP')]
2.15.49	अद्रिकूटाचलमेघसन्निभम्	similar to motionless cloud over a  mountain peak	[('motionless', 'VB')]
2.91.17	अद्रिकृतस्थलाम्	whose abode is on the mountain	[('is', 'VBZ')]
5.4.24	अद्रिमूर्ध्नि	as if touching the sky on the peak of the mountain	[('touching', 'VBG')]
3.72.17	अद्रोहाय	make alliance without any malice	[('make', 'VB')]
5.65.12	अधः शय्या	now lying on bare ground	[('lying', 'VBG')]
2.69.10	अधःशिराः	plunging his head downwards	[('plunging', 'VBG')]
1.16.23	अधनःइव	like a person having no wealth	[('having', 'VBG')]
5.51.28	अधर्मनाशनः	will destroy unrighteousness.	[('destroy', 'VB')]
3.71.9	अधर्षयम्	I attacked .	[('attacked', 'VBD')]
1.37.13	अधारयत्	assumed	[('assumed', 'VBN')]
5.5.11	अधिकं क्षिपन्ति	excessively throwing	[('throwing', 'VBG')]
2.95.12	अधिकम्	is  greater	[('is', 'VBZ')]
2.80.15	अधिकृता	authorised	[('authorised', 'VBN')]
3.19.18	अधिकृत्य	pertaining to her	[('pertaining', 'VBG')]
5.55.4	अधिक्षिपेत्	will accuse.	[('accuse.', 'VB')]
1.39.14	अधिगच्छत	you may acquire	[('acquire', 'VB')]
3.73.32	अधिगच्छति	will get.	[('get.', 'VB')]
3.72.22	अधिगच्छति हि	will find and reach.	[('find', 'VB'), ('reach.', 'VB')]
1.5.19	अधिगतम्	acquired	[('acquired', 'VBN')]
5.26.20	अधिगत्वा	after knowing	[('knowing', 'VBG')]
3.69.39	अधिगन्तासि	will attain her	[('attain', 'VB')]
3.47.44	अधिगन्तुम्	to acquire	[('acquire', 'VB')]
5.28.7	अधिगमिष्यतः	will be spent	[('be', 'VB'), ('spent', 'VBN')]
3.72.24	अधिगमिष्यति	will find out.	[('find', 'VB')]
5.37.5	अधिगमिष्यति	will he reach.	[('reach.', 'VB')]
3.31.4	अधिगमिष्यति	will surely get.	[('get.', 'VB')]
4.63.12	अधिगमिष्यथ	you will trace	[('trace', 'VB')]
