YAJURVED	मन्त्रसंख्या				
112	3.47	3	47	112	अक्रन् कर्म कर्मकृतः सह वाचा मयोभुवा। देवेभ्यः कर्म कृत्वास्तं प्रेत सचाभुवः ॥४७॥
113	3.48	3	48	113	अवभृथ निचुम्पुण निचेरुरसि निचुम्पुणः। अव देवैर्देवकृतमेनोऽयासिषमव मर्त्यैर्मर्त्यकृतं पुरुराव्णो देव रिषस्पाहि ॥४८ ॥
114	3.49	3	49	114	पूर्णा दर्वि परा पत सुपूर्णा पुनरापत। वस्नेव विक्रीणावहाऽइषमूर्जꣳ शतक्रतो ॥४९॥
115	3.50	3	50	115	देहि मे ददामि ते नि मे धेहि नि ते दधे। निहारं च हरासि मे निहारं निहराणि ते स्वाहा ॥५०॥
116	3.51	3	51	116	अक्षन्नमीमदन्त ह्यव प्रियाऽअधूषत। अस्तोषत स्वभानवो विप्रा नविष्ठया मती योजा न्विन्द्र ते हरी ॥५१॥
117	3.52	3	52	117	सुसन्दृशं त्वा वयं मघवन् वन्दिषीमहि। प्र नूनं पूर्णबन्धुर स्तुतो यासि वशाँ२ऽअनु योजा न्विन्द्र ते हरी ॥५२॥
118	3.53	3	53	118	मनो न्वाह्वामहे नाराशꣳसेन स्तोमेन। पितॄणां च मन्मभिः ॥५३॥
119	3.54	3	54	119	आ नऽएतु मनः पुनः क्रत्वे दक्षाय जीवसे। ज्योक् च सूर्यं दृशे ॥५४॥
120	3.55	3	55	120	पुनर्नः पितरो मनो ददातु दैव्यो जनः। जीवं व्रातꣳसचेमहि ॥५५॥
121	3.56	3	56	121	वयꣳ सोम व्रते तव मनस्तनूषु बिभ्रतः। प्रजावन्तः सचेमहि ॥५६॥
122	3.57	3	57	122	एष ते रुद्र भागः सह स्वस्राम्बिकया तं जुषस्व स्वाहैष ते रुद्र भागऽआखुस्ते पशुः ॥५७॥
123	3.58	3	58	123	अव रुद्रमदीमह्यव देवं त्र्यम्बकम्। यथा नो वस्यसस्करद् यथा नः श्रेयसस्करद् यथा नो व्यवसाययात् ॥५८॥
124	3.59	3	59	124	भेषजमसि भेषजं गवेऽश्वाय पुरुषाय भेषजम्। सुखं मेषाय मेष्यै ॥५९॥
125	3.60	3	60	125	त्र्यम्बकं यजामहे सुगन्धिं पुष्टिवर्धनम्। उर्वारुकमिव बन्धनान्मृत्योर्मुक्षीय माऽमृतात्। त्र्यम्बकं यजामहे सुगन्धिं पतिवेदनम्। उर्वारुकमिव बन्धनादितो मुक्षीय मामुतः ॥६०॥
126	3.61	3	61	126	एतत्ते रुद्रावसं तेन परो मूजवतोऽतीहि। अवततधन्वा पिनाकावसः कृत्तिवासाऽअहिꣳसन्नः शिवोऽतीहि ॥६१॥
